individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,individualIdSource,species,sex,genotype,genotypeBackground,room,litter,matingID,dateBirth,dateDeath,treatmentType,Climb_Identifier,ExternalIdentifier,StockNumber,OfficialName,modelSystemName,CurrentLocationPath,MaterialOrigin,AnimalStatus,ExitReason,PhysicalMarker,Generation,AnimalMatingStatus,Comments,jobNumber,Microchip Number,Diet,Birth ID,brainWeight,animalWeight,modelCommonName
32040,32040,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32040,32040GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32040,32040H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32040,32040X34,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32040,32040LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32040,32040CVLB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32040,32040NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32040,32040ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32040,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288634220,6%,,0.486,25.18,5XFAD
32042,32042,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,32042GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,32042H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,32042X34,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,32042LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,32042CVLB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,32042NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,32042ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32042,"32042TS1,7",,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32042,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288855743,6%,,0.479,23.67,5XFAD
32043,32043,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32043,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288646853,6%,,0.503,28.76,5XFAD
32043,32043LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32043,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288646853,6%,,0.503,28.76,5XFAD
32043,32043rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32043,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,288646853,6%,,0.503,28.76,5XFAD
32044,32044,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32044,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289822454,6%,,0.482,46.51,5XFAD
32044,32044GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32044,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289822454,6%,,0.482,46.51,5XFAD
32044,32044H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32044,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289822454,6%,,0.482,46.51,5XFAD
32044,32044X34,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32044,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289822454,6%,,0.482,46.51,5XFAD
32044,32044LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32044,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289822454,6%,,0.482,46.51,5XFAD
32044,32044CVLB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32044,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289822454,6%,,0.482,46.51,5XFAD
32044,32044NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32044,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289822454,6%,,0.482,46.51,5XFAD
