individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,individualIdSource,species,sex,genotype,genotypeBackground,room,litter,matingID,dateBirth,dateDeath,treatmentType,Climb_Identifier,ExternalIdentifier,StockNumber,OfficialName,modelSystemName,CurrentLocationPath,MaterialOrigin,AnimalStatus,ExitReason,PhysicalMarker,Generation,AnimalMatingStatus,Comments,jobNumber,Microchip Number,Diet,Birth ID,brainWeight,animalWeight,modelCommonName
109440011,109440011rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,male,APOE4_homozygous,C57BL6J,IU-NB-109C,,,9/23/2018,9/23/2019,,,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,191,,Virgin,,APOE4 12 month,109440011,6%,,,,APOE4
109440012,109440012rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,male,APOE4_homozygous,C57BL6J,109C,,,7/28/2019,7/29/2019,,311250,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4 Molecular, 12 month molecular",109440012,6%,109C,,,APOE4
109440014,109440014rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,female,APOE4_homozygous,C57BL6J,109C,,,7/28/2019,7/29/2019,,311253,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4 Molecular, 4 month molecular",109440014,6%,109C,,,APOE4
109440016,109440016rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,female,APOE4_homozygous,C57BL6J,109C,,,7/28/2019,7/29/2019,,311254,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4 Molecular, 12 month molecular",109440016,6%,109C,,,APOE4
109440017,109440017rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,female,APOE4_homozygous,C57BL6J,109C,,,7/28/2019,7/29/2019,,311255,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4 Molecular, 12 month molecular",109440017,6%,109C,,,APOE4
109440018,109440018rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,female,APOE4_homozygous,C57BL6J,109C,,,7/27/2018,7/29/2019,,319878,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4 Molecular, 12 month molecular",109440018,6%,109C,,,APOE4
109440019,109440019rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,male,APOE4_homozygous,C57BL6J,109C,,,7/28/2018,7/29/2019,,311256,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4 Molecular, 12 month molecular",109440019,6%,109C,,,APOE4
109440023,109440023rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,male,APOE4_homozygous,C57BL6J,109C,,,2/5/2019,6/11/2019,,311261,,27894,B6.Cg-Apoetm1.1(APOE*4)Adiuj/J,APOE4KI,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4 Molecular, 4 month molecular",109440023,6%,109C,,,APOE4
287565769,287565769rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,male,APOE4_homozygous;Trem2R47H_homozygous,C57BL6J,NB109C,,M-163-17,9/22/2017,5/22/2018,,267206,,28709,B6.Cg-Apoetm1.1(APOE*4)AdiujTrem2em1Adiuj/J,APOE4Trem2R47H,,IU,H.Harvested,H.Harvested,,,Virgin,,"APOE4.TREM2R47H Molecular, 8 month molecular",287565769,6%,109C,,,LOAD1
287696523,287696523rh,soluble,brain,right cerebral hemisphere,,frozen,,,,,FALSE,TRUE,,IU,Mouse,female,C57BL6J,C57BL6J,NB109C,,,9/19/2017,5/22/2018,,267158,,664,C57BL/6J,C57BL6J,,IU,H.Harvested,H.Harvested,,,Virgin,,Deep Phenotyping 8mo,287696523,6%,109C,,,C57BL6J
